"","No","Q_Y","Q","M_Y","Period","diff_gap","diff_oil","diff_exchange","diff_VNI","diff_CPI","diff._goldreserve","diff_interest","log_M2","diff_demandVN"
"46",46,"Q1-2010","Q1","3-2010",40246,-30439.9924399927,-0.349999999999994,-20,6.14999999999998,0.00800000000000001,0.47199999999998,0,0.0173754747720921,-4.56
"47",47,"Q1-2010","Q1","3-2010",40247,123569.079569079,0.569999999999993,20,-1.60000000000002,0.00800000000000001,0.47199999999998,0,0.0173754747720921,-4.56
"48",48,"Q1-2010","Q1","3-2010",40248,-181200.907200906,0.0300000000000011,10,-1.02999999999997,0.00800000000000001,0.47199999999998,0,0.0173754747720921,-4.56
"49",49,"Q1-2010","Q1","3-2010",40249,51842.7518427521,-0.839999999999989,0,6.87,0.00800000000000001,0.47199999999998,0,0.0173754747720921,-4.56
"50",50,"Q1-2010","Q1","3-2010",40252,-52512.1905121915,-1.47,-10,0.350000000000023,0.00800000000000001,0.47199999999998,0,0.0173754747720921,-4.56
"51",51,"Q1-2010","Q1","3-2010",40253,-201487.809487808,1.95999999999999,0,-15.78,0.00800000000000001,0.47199999999998,0,0.0173754747720921,-4.56
"52",52,"Q1-2010","Q1","3-2010",40254,101575.127575127,1.18000000000001,-20,-5.23000000000002,0.00800000000000001,0.47199999999998,0,0.0173754747720921,-4.56
"53",53,"Q1-2010","Q1","3-2010",40255,-109271.593271593,-0.77000000000001,25,8.88,0.00800000000000001,0.47199999999998,0,0.0173754747720921,-4.56
"54",54,"Q1-2010","Q1","3-2010",40256,246703.458703458,-1.58,-5,-3.74000000000001,0.00800000000000001,0.47199999999998,0,0.0173754747720921,-4.56
"55",55,"Q1-2010","Q1","3-2010",40259,4388.96238896251,0.680000000000007,0,-4.41000000000003,0.00800000000000001,0.47199999999998,0,0.0173754747720921,-4.56
"56",56,"Q1-2010","Q1","3-2010",40260,-60970.3269703276,0.420000000000002,-10,-5.05000000000001,0.00800000000000001,0.47199999999998,0,0.0173754747720921,-4.56
"57",57,"Q1-2010","Q1","3-2010",40261,40306.5583065581,-1.39,0,5.59000000000003,0.00800000000000001,0.47199999999998,0,0.0173754747720921,-4.56
"58",58,"Q1-2010","Q1","3-2010",40262,-706563.22056322,-0.0400000000000063,410,-8.73000000000002,0.00800000000000001,0.47199999999998,0,0.0173754747720921,-4.56
"59",59,"Q1-2010","Q1","3-2010",40263,-67533.9255339261,-0.5,-10,1.91000000000003,0.00800000000000001,0.47199999999998,0,0.0173754747720921,-4.56
